name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score_CSharp,tech_self_score_Java,tech_self_score_R,tech_self_score_JavaScript,tech_self_score_Python,tech_self_score_C++,tech_self_score_Ruby,tech_self_score_SPSS,tech_self_score_PHP
Shamus Mccomish,2019-08-15,Versatile,"Distracted, Slow",False,True,True,Fail,Engineering,,,1.0,2.0,,2.0,6.0,,
Andy Lown,2019-08-22,"Ambitious, Independent","Perfectionist, Procrastination",True,True,True,Pass,Business,,,,,,,,,
Arny Coorington,2019-08-14,Efficient,Competitive,True,True,True,Pass,Engineering,,1.0,,,,,,,
Devondra Blabey,2019-08-15,"Creative, Passionate, Reliable",Distracted,False,True,True,Fail,Engineering,,,3.0,2.0,4.0,,,,2.0
Irita Lyptrit,2019-08-07,Problem Solving,Perfectionist,True,True,True,Pass,Engineering,,1.0,,,,,2.0,,
Jae Rennolds,2019-08-29,"Consistent, Collaboration",Stubborn,True,True,True,Pass,Data,2.0,,3.0,,,5.0,,3.0,2.0
Marion Consadine,2019-08-15,"Independent, Passionate",Overbearing,True,True,True,Pass,Business,,,,4.0,5.0,,,3.0,
Leonore Pettiford,2019-08-13,Passionate,"Indifferent, Anxious",True,True,True,Pass,Data,,,,,3.0,4.0,,,
Edvard Northen,2019-08-07,Competitive,Controlling,True,True,True,Pass,Data,,,,,,,,7.0,
Oralla Peasgood,2019-08-07,"Versatile, Consistent, Passionate","Intolerant, Distracted, Impulsive",True,False,True,Fail,Business,6.0,5.0,,,,,5.0,6.0,
Ly Ferro,2019-08-13,"Curious, Perfectionism, Determined","Selfish, Conventional",True,False,True,Fail,Business,,,,1.0,,,1.0,,4.0
Lindsey Gerwood,2019-08-29,"Courteous, Ambitious, Versatile","Sensitive, Introverted",True,True,True,Fail,Data,,1.0,4.0,,1.0,6.0,4.0,,
Gianna Clevely,2019-08-01,"Independent, Competitive, Determined","Immature, Chaotic",True,True,True,Pass,Business,,4.0,,,3.0,,,,
Celine Doree,2019-08-15,"Reliable, Curious, Courteous",Impatient,True,True,True,Pass,Data,8.0,4.0,,,,,,,
Karlene Hughill,2019-08-21,"Courteous, Determined","Controlling, Intolerant, Conventional",True,True,True,Pass,Data,2.0,,,1.0,,2.0,1.0,,
Sayre Webberley,2019-08-14,Independent,"Perfectionist, Distracted",True,True,False,Fail,Engineering,3.0,1.0,,,5.0,5.0,,,2.0
Phyllys Baelde,2019-08-15,"Charisma, Collaboration, Listening",Indecisive,True,True,True,Pass,Data,,,3.0,,1.0,,,,3.0
Samuele Whear,2019-08-20,"Rational, Passionate","Stubborn, Impulsive",True,False,True,Fail,Business,,2.0,,,4.0,1.0,,,
Darcey Mordin,2019-08-27,"Curious, Empathy, Creative","Anxious, Slow, Competitive",True,True,True,Pass,Business,,1.0,,,,,,1.0,
Pamelina Itzkovsky,2019-08-13,"Curious, Perfectionism, Determined","Impatient, Passive, Intolerant",True,True,True,Pass,Engineering,,2.0,,,,,5.0,,
Laurel Gillogley,2019-08-21,Ambitious,"Chatty, Distracted, Slow",True,False,True,Fail,Engineering,,,,2.0,,3.0,4.0,,
Quinta Cowdray,2019-08-28,Consistent,"Conventional, Intolerant",True,True,True,Pass,Engineering,,,,3.0,1.0,,,2.0,
Cecile Lates,2019-08-15,Perfectionism,"Slow, Impulsive",True,True,True,Fail,Engineering,,,,,,4.0,,5.0,
Seumas Lemonby,2019-08-14,"Altruism, Empathy, Innovative",Distracted,True,True,True,Pass,Engineering,1.0,,,,,1.0,,,2.0
Gale Quartley,2019-08-13,"Rational, Organisation, Consistent",Procrastination,True,True,True,Pass,Data,,7.0,2.0,,,,2.0,,
Dorrie Srutton,2019-08-22,Charisma,"Introverted, Sensitive",False,True,True,Fail,Engineering,1.0,,,,,,,,
Benny Tichelaar,2019-08-21,Problem Solving,"Impulsive, Stubborn",False,False,True,Fail,Data,,1.0,,4.0,,,,1.0,
Avrit Gawith,2019-08-15,Versatile,"Introverted, Chaotic",True,True,True,Pass,Business,2.0,,,3.0,,,,4.0,
Berti Dennehy,2019-08-22,Consistent,"Stubborn, Anxious, Competitive",True,True,True,Fail,Data,,,,,,8.0,,2.0,5.0
Rockey Robarts,2019-08-14,"Composure, Charisma, Rational","Indifferent, Sensitive",True,True,True,Pass,Engineering,,3.0,,,6.0,,,,
Eloisa Ewert,2019-08-21,Efficient,"Anxious, Chatty",True,True,False,Fail,Business,2.0,,,,,,2.0,,1.0
Mireille Risom,2019-08-21,"Passionate, Reliable, Altruism","Chatty, Critical, Passive",True,True,True,Pass,Data,,,,,,,,3.0,2.0
Sharl Daggett,2019-08-22,"Efficient, Perfectionism",Controlling,True,True,True,Pass,Engineering,,,1.0,3.0,,,1.0,1.0,
Nikolos Yashin,2019-08-15,"Empathy, Curious","Chaotic, Stubborn",True,True,True,Fail,Business,,2.0,5.0,3.0,,2.0,,,
Shela Mccall,2019-08-14,"Courteous, Curious, Organisation","Stubborn, Procrastination",True,True,True,Fail,Engineering,,,,,,1.0,,3.0,1.0
Sonnie Malenfant,2019-08-14,"Organisation, Courteous",Perfectionist,True,True,True,Pass,Business,,,,,4.0,6.0,2.0,3.0,
Mahmud Molineux,2019-08-20,"Rational, Charisma","Chatty, Distracted, Sensitive",True,True,True,Pass,Business,,,,1.0,7.0,2.0,7.0,,
Dylan Llewellen,2019-08-29,"Perfectionism, Ambitious","Undisciplined, Intolerant, Perfectionist",True,True,False,Fail,Data,1.0,,5.0,,2.0,,,1.0,
Yvor Phalip,2019-08-01,"Charisma, Creative, Curious","Intolerant, Procrastination, Immature",True,True,False,Fail,Data,2.0,3.0,1.0,,,,7.0,,
Berry Freed,2019-08-29,"Competitive, Versatile",Immature,True,True,True,Pass,Business,,,,,,,,,3.0
Marielle Knivett,2019-08-01,Critical Thinking,"Overbearing, Indecisive",True,False,True,Fail,Business,5.0,,5.0,,,,4.0,7.0,1.0
Emmanuel Deniske,2019-08-15,"Passionate, Altruism, Courteous","Overbearing, Procrastination",True,True,True,Pass,Data,,3.0,,,1.0,1.0,,,
Kerr Coucha,2019-08-07,Curious,"Controlling, Sensitive, Distracted",True,True,True,Pass,Data,1.0,,2.0,,7.0,6.0,,3.0,
Dulci Mcgrayle,2019-08-21,"Versatile, Creative","Chatty, Sensitive",True,True,True,Pass,Data,,2.0,3.0,6.0,,,,,1.0
Shandee Blaschke,2019-08-21,Critical Thinking,Stubborn,False,True,True,Fail,Engineering,3.0,,,,3.0,1.0,4.0,,
Paul Chislett,2019-08-14,"Composure, Organisation","Procrastination, Impatient, Conventional",True,True,False,Fail,Engineering,,4.0,,,,,,,
Florri Loughton,2019-08-01,Ambitious,"Indifferent, Critical, Conventional",False,True,True,Fail,Engineering,1.0,,,,,,,,
Hildy Landre,2019-08-08,"Perfectionism, Courteous",Indifferent,False,True,True,Fail,Data,3.0,,1.0,3.0,,,,,
Berny Botler,2019-08-06,"Altruism, Collaboration",Impulsive,True,True,True,Pass,Data,,6.0,,,4.0,,2.0,3.0,4.0
Merell Tremmil,2019-08-13,"Perfectionism, Collaboration, Patient",Indifferent,True,True,True,Fail,Engineering,,,,,,6.0,,4.0,
Ileana Chewter,2019-08-21,"Passionate, Versatile",Competitive,True,True,True,Pass,Business,,2.0,,2.0,4.0,6.0,5.0,,
Ilario Yeates,2019-08-13,Listening,Procrastination,False,True,True,Fail,Engineering,1.0,,3.0,,4.0,,,,
Winnie Lewerenz,2019-08-06,Patient,Indecisive,True,False,True,Fail,Business,4.0,,2.0,2.0,,,,,
Garwood Strowan,2019-08-20,"Consistent, Creative","Chatty, Impulsive",False,True,True,Fail,Data,,3.0,,2.0,,3.0,,,
Herb Mcilmorie,2019-08-08,Determined,"Sensitive, Passive",True,True,True,Pass,Data,,3.0,2.0,,,1.0,2.0,4.0,7.0
Ingunna Adin,2019-08-01,"Charisma, Altruism, Perfectionism","Competitive, Indifferent, Chaotic",True,True,True,Pass,Data,,6.0,4.0,3.0,,3.0,,,
Frazier Bayston,2019-08-29,Altruism,Impulsive,True,False,True,Fail,Data,2.0,,,5.0,,1.0,4.0,3.0,
Hewett Lamputt,2019-08-13,"Rational, Determined, Organisation","Slow, Controlling, Anxious",True,True,True,Pass,Engineering,1.0,,6.0,3.0,,5.0,2.0,,1.0
Rodger Bendelow,2019-08-22,"Courteous, Rational","Selfish, Impatient",True,True,True,Pass,Data,,,,,6.0,,,3.0,
Archer Hobben,2019-08-14,"Independent, Problem Solving","Critical, Indecisive",True,True,True,Fail,Business,,,,,2.0,,4.0,,
Stephani Prettyman,2019-08-22,"Listening, Independent, Organisation",Selfish,True,True,True,Pass,Engineering,,1.0,,1.0,1.0,4.0,,2.0,
Pepi Bome,2019-08-20,"Competitive, Charisma","Slow, Indifferent, Selfish",True,True,True,Pass,Engineering,1.0,,,2.0,,,5.0,2.0,1.0
Loella Lonnon,2019-08-06,Empathy,"Introverted, Conventional, Undisciplined",True,True,False,Fail,Data,,,,,,6.0,,,
Darrin Stoffel,2019-08-08,Altruism,"Conventional, Introverted",True,True,True,Pass,Business,,,,,,,,3.0,2.0
Mitchel Bates,2019-08-14,Problem Solving,Stubborn,True,True,False,Fail,Engineering,2.0,3.0,,3.0,2.0,,,2.0,
Miles Water,2019-08-08,"Charisma, Passionate, Creative","Slow, Intolerant, Sensitive",True,True,True,Pass,Business,2.0,2.0,,4.0,,,,,2.0
Fanni Polhill,2019-08-28,"Perfectionism, Efficient, Listening","Indecisive, Indifferent, Undisciplined",True,True,True,Fail,Engineering,3.0,,,,2.0,,,6.0,
Genvieve Arnke,2019-08-22,"Reliable, Patient, Rational","Selfish, Chatty",False,True,True,Fail,Business,,,,,,,3.0,,2.0
Alicia Hruska,2019-08-28,"Altruism, Competitive, Charisma",Indifferent,True,True,True,Pass,Business,3.0,4.0,4.0,,,,,,
Mella Aubin,2019-08-15,Listening,Introverted,True,True,True,Pass,Data,,,3.0,,,,6.0,4.0,
George Huckstepp,2019-08-06,"Perfectionism, Listening, Ambitious","Anxious, Indifferent",False,True,True,Fail,Engineering,1.0,2.0,2.0,,,,,,
Joelie Elfitt,2019-08-29,Problem Solving,Chatty,True,True,False,Fail,Business,4.0,,,,1.0,,,,
Omar Rodrigo,2019-08-27,"Composure, Versatile","Impatient, Slow, Critical",True,False,True,Fail,Engineering,,,,1.0,,,3.0,,
Cal Loache,2019-08-15,"Ambitious, Reliable, Determined","Sensitive, Indifferent",True,True,True,Fail,Business,3.0,,7.0,1.0,3.0,,2.0,1.0,2.0
Tully Mcdoual,2019-08-07,Rational,"Stubborn, Indifferent",True,True,True,Pass,Engineering,,,1.0,,4.0,,3.0,,
Molli Brayfield,2019-08-22,Listening,"Perfectionist, Conventional",True,True,True,Pass,Data,,4.0,3.0,,,,,3.0,3.0
Janaya Mawford,2019-08-01,"Problem Solving, Efficient","Stubborn, Indecisive, Undisciplined",True,True,True,Pass,Data,,,1.0,,7.0,,,,
Lazarus Hooke,2019-08-29,"Independent, Perfectionism",Immature,False,True,True,Fail,Data,,1.0,1.0,,,,,,
Sidney Le Batteur,2019-08-08,Listening,"Intolerant, Conventional, Undisciplined",True,True,True,Pass,Data,,,,1.0,,,,,
Maryellen Vasovic,2019-08-20,"Problem Solving, Altruism, Patient","Indecisive, Procrastination, Undisciplined",True,True,True,Pass,Data,,3.0,,4.0,,,4.0,,1.0
Winona Rubinowitz,2019-08-29,Courteous,Controlling,True,True,True,Pass,Engineering,1.0,,,3.0,,,3.0,,
Dur Plom,2019-08-14,"Consistent, Innovative","Indifferent, Indecisive, Controlling",True,True,True,Fail,Engineering,1.0,,4.0,,,3.0,2.0,4.0,1.0
Gisela Aisbett,2019-08-15,"Efficient, Critical Thinking, Creative","Chaotic, Conventional",True,True,True,Pass,Engineering,,1.0,,1.0,,,,3.0,
Appolonia Jovis,2019-08-29,"Passionate, Composure, Determined",Anxious,True,False,False,Fail,Business,,7.0,5.0,,,4.0,,7.0,1.0
Diandra Dyhouse,2019-08-27,"Collaboration, Determined, Consistent","Slow, Conventional",True,True,True,Pass,Business,,3.0,,,6.0,3.0,,,
Cornall Offer,2019-08-01,Creative,"Distracted, Overbearing",True,False,True,Fail,Data,,1.0,,,,4.0,,,
Dominique Narbett,2019-08-20,"Competitive, Critical Thinking, Courteous","Immature, Chatty, Critical",True,True,True,Pass,Business,,,6.0,,,,4.0,6.0,
Gusti Horrod,2019-08-27,"Empathy, Courteous",Indifferent,True,True,True,Pass,Data,,3.0,3.0,,,,,,1.0
Brnaby Bownes,2019-08-01,"Efficient, Passionate",Introverted,True,True,True,Pass,Engineering,5.0,5.0,,,4.0,2.0,4.0,3.0,
Berky Bailey,2019-08-28,"Competitive, Empathy","Distracted, Passive, Stubborn",True,True,True,Pass,Business,5.0,,,5.0,2.0,,,,
Harriett Saffin,2019-08-28,"Innovative, Consistent, Collaboration",Impulsive,True,True,True,Pass,Business,2.0,,1.0,,1.0,,4.0,,
Pooh Christy,2019-08-28,"Curious, Perfectionism, Critical Thinking",Perfectionist,True,True,True,Pass,Data,2.0,2.0,,,5.0,1.0,,,
Tris Landrean,2019-08-29,"Innovative, Empathy","Passive, Selfish, Chaotic",True,True,True,Pass,Data,,1.0,,,,1.0,,1.0,
Derk Andress,2019-08-13,"Curious, Altruism, Collaboration","Perfectionist, Chatty, Undisciplined",True,True,True,Pass,Business,,,4.0,,,2.0,,,
Engelbert Vahl,2019-08-21,"Courteous, Reliable","Chaotic, Undisciplined",True,True,True,Pass,Data,,2.0,,3.0,,4.0,,,
Prentiss Godman,2019-08-20,"Altruism, Collaboration","Controlling, Impulsive",True,True,True,Fail,Engineering,,3.0,,,,1.0,3.0,,
Angel Hulson,2019-08-14,"Consistent, Independent","Chaotic, Controlling, Critical",True,True,True,Fail,Business,5.0,,2.0,,,2.0,1.0,,
Mike Milliere,2019-08-06,"Patient, Perfectionism","Selfish, Indifferent",True,True,True,Pass,Engineering,,2.0,2.0,,,,,,
Gayleen Petru,2019-08-14,"Versatile, Problem Solving",Distracted,True,True,True,Pass,Business,,,,,1.0,,1.0,,
Jozef Burr,2019-08-07,"Organisation, Patient, Problem Solving","Chatty, Anxious",True,True,True,Pass,Engineering,,2.0,1.0,,,,,2.0,1.0
Allina Grelka,2019-08-28,"Courteous, Empathy, Organisation",Critical,True,True,True,Pass,Engineering,,3.0,4.0,,,1.0,,5.0,3.0
Carr Kensall,2019-08-20,"Creative, Reliable",Chatty,True,False,True,Fail,Business,4.0,,1.0,3.0,,,2.0,3.0,2.0
Nil Macpaike,2019-08-06,"Problem Solving, Courteous","Controlling, Introverted, Overbearing",True,True,True,Pass,Business,2.0,1.0,1.0,,,,,,
Jessie Petriello,2019-08-06,"Passionate, Versatile",Critical,True,True,True,Pass,Engineering,,1.0,,,,,,,2.0
George O'Duane,2019-08-06,"Altruism, Efficient, Competitive","Controlling, Critical, Competitive",True,True,True,Pass,Data,,,1.0,4.0,1.0,,,,
Mendie Mcbean,2019-08-15,"Composure, Independent, Innovative","Impulsive, Conventional, Introverted",True,True,True,Pass,Engineering,,,,,,5.0,,,
Roze Yepiskopov,2019-08-21,Perfectionism,Chatty,True,True,True,Pass,Engineering,2.0,,,,,8.0,,5.0,3.0
Boote Moan,2019-08-20,Altruism,Chaotic,True,True,True,Pass,Business,5.0,1.0,,,1.0,2.0,,,
Tito Greiswood,2019-08-20,"Composure, Independent","Conventional, Passive, Chaotic",True,True,True,Pass,Engineering,,,,4.0,,4.0,2.0,,3.0
Reg Vandenhoff,2019-08-27,Independent,"Competitive, Overbearing",True,True,True,Pass,Data,,,5.0,3.0,,,7.0,4.0,
Ravid Leyninye,2019-08-06,"Efficient, Competitive","Undisciplined, Stubborn",True,True,True,Pass,Data,,1.0,,2.0,,,,,
Ninetta Joyce,2019-08-06,"Collaboration, Perfectionism","Selfish, Critical, Stubborn",True,True,True,Pass,Data,2.0,,,4.0,1.0,,,,
Rozalin Summerscales,2019-08-28,"Altruism, Collaboration, Empathy","Chaotic, Indifferent",True,True,True,Pass,Engineering,,,5.0,,5.0,,,,
Rafi Andrzejczak,2019-08-07,"Critical Thinking, Innovative","Chatty, Undisciplined, Selfish",True,False,True,Fail,Business,,2.0,,,6.0,,,,
Mead Stolting,2019-08-29,"Courteous, Efficient","Sensitive, Indifferent",True,False,True,Fail,Data,,1.0,2.0,,,,,7.0,2.0
Chickie Kezar,2019-08-21,"Problem Solving, Altruism, Ambitious","Undisciplined, Procrastination",True,True,False,Fail,Business,,,,5.0,,2.0,,7.0,
Cornall Wastall,2019-08-15,"Innovative, Efficient","Indifferent, Critical, Impatient",True,True,True,Pass,Engineering,,,,,,1.0,,3.0,
Carlin Stellino,2019-08-20,"Consistent, Efficient","Chatty, Overbearing",True,True,False,Fail,Engineering,,,,,5.0,,,,
Sherline Cudihy,2019-08-01,Perfectionism,Sensitive,True,True,True,Pass,Data,,3.0,2.0,,1.0,,2.0,5.0,
Burnard Fielden,2019-08-21,Independent,"Slow, Indifferent, Selfish",True,False,True,Fail,Data,2.0,,,,5.0,,,2.0,
Valle Humby,2019-08-21,Competitive,"Perfectionist, Intolerant",True,True,True,Pass,Engineering,1.0,,,2.0,2.0,,2.0,5.0,
Jillie Howles,2019-08-27,"Consistent, Independent, Composure",Chaotic,True,True,False,Fail,Data,,5.0,,,,,2.0,4.0,1.0
Chucho Galfour,2019-08-13,"Problem Solving, Ambitious, Courteous","Chatty, Procrastination, Overbearing",True,True,True,Pass,Engineering,,2.0,7.0,,1.0,,,2.0,
Orland Glaisner,2019-08-13,"Charisma, Courteous, Collaboration","Distracted, Critical, Competitive",True,True,True,Pass,Engineering,,,,2.0,,,,,
Luz Gasparro,2019-08-08,"Creative, Listening, Altruism","Anxious, Critical",True,True,True,Pass,Engineering,,,,,3.0,,,,1.0
Melesa Mault,2019-08-07,"Altruism, Problem Solving, Versatile",Competitive,True,False,True,Fail,Data,,5.0,,,,,,1.0,
Trudie Kiellor,2019-08-06,"Collaboration, Curious, Passionate",Intolerant,True,True,True,Pass,Data,,,,,3.0,,,,
Nancie Sazio,2019-08-15,Altruism,"Overbearing, Selfish",True,True,True,Pass,Engineering,,,3.0,,,,,,4.0
Welby Wishkar,2019-08-14,"Problem Solving, Passionate",Competitive,True,True,True,Fail,Business,,7.0,,,,3.0,3.0,,4.0
Carce Capel,2019-08-28,"Courteous, Versatile, Organisation",Undisciplined,False,True,True,Fail,Business,,,1.0,2.0,5.0,3.0,,2.0,1.0
Oralia Barrat,2019-08-27,"Composure, Patient",Introverted,True,True,True,Pass,Data,2.0,,3.0,,,,,,
Katuscha Ransfield,2019-08-07,"Altruism, Innovative",Introverted,True,False,True,Fail,Engineering,5.0,4.0,,2.0,,3.0,3.0,,
Norene Fierro,2019-08-01,"Efficient, Empathy",Stubborn,True,False,True,Fail,Business,,,,,6.0,3.0,,,
Mylo Sudell,2019-08-06,"Creative, Critical Thinking",Passive,True,True,True,Pass,Data,,,1.0,,,,,,
Shannon Hartman,2019-08-21,"Collaboration, Problem Solving",Indecisive,True,True,True,Fail,Engineering,1.0,,,1.0,,2.0,2.0,2.0,
Blakeley Strood,2019-08-06,"Empathy, Competitive",Procrastination,True,True,True,Pass,Data,,,,,3.0,,,3.0,
Rafi Downse,2019-08-21,"Rational, Innovative, Versatile","Introverted, Undisciplined, Stubborn",True,True,True,Pass,Engineering,,1.0,8.0,1.0,2.0,,3.0,3.0,
Demetrius Tunstall,2019-08-07,Collaboration,"Competitive, Introverted, Overbearing",True,True,True,Pass,Engineering,2.0,,,,,,,2.0,
Melinde Darton,2019-08-21,Courteous,"Controlling, Critical, Conventional",True,True,True,Pass,Business,,,,4.0,,,,,
Dulcea Perl,2019-08-22,"Creative, Empathy, Innovative",Distracted,True,True,True,Pass,Engineering,4.0,,,5.0,,,,,
Milton Conaghan,2019-08-08,"Collaboration, Consistent","Distracted, Sensitive",True,True,True,Pass,Engineering,5.0,2.0,1.0,1.0,,4.0,,,4.0
Chere Siddens,2019-08-29,"Competitive, Listening, Curious","Sensitive, Competitive",False,True,False,Fail,Business,,5.0,,,,,,,
Putnem Hessing,2019-08-08,"Independent, Critical Thinking","Chatty, Perfectionist, Critical",True,True,True,Pass,Data,4.0,,,,,1.0,5.0,1.0,
Timmi Haveline,2019-08-22,"Curious, Reliable, Competitive",Sensitive,True,True,True,Pass,Business,3.0,,,,,,,,
Garald Banasevich,2019-08-08,Creative,"Selfish, Perfectionist, Anxious",True,True,True,Pass,Data,2.0,3.0,5.0,,,3.0,3.0,,
Anselma Pavelin,2019-08-21,Organisation,Distracted,True,True,True,Fail,Business,,5.0,,1.0,,,,,2.0
Querida Antonacci,2019-08-29,Problem Solving,Introverted,True,True,True,Pass,Data,,,7.0,1.0,6.0,4.0,1.0,,
Leda Aharoni,2019-08-13,"Competitive, Consistent","Immature, Impatient, Distracted",True,True,True,Pass,Business,4.0,,,3.0,4.0,,,,3.0
Norri Temby,2019-08-27,"Listening, Organisation, Consistent","Controlling, Passive",True,True,True,Pass,Engineering,,5.0,,,,,,5.0,
Margery Winspur,2019-08-07,Independent,"Impulsive, Undisciplined",True,True,True,Pass,Data,1.0,4.0,,,1.0,,,,1.0
Bord Ollin,2019-08-14,Innovative,"Stubborn, Competitive, Passive",True,True,False,Fail,Business,2.0,,5.0,5.0,,,,,
Dodie Lassells,2019-08-27,Critical Thinking,"Stubborn, Immature",True,True,True,Pass,Data,,1.0,2.0,2.0,2.0,3.0,2.0,,
Corie Snodin,2019-08-22,"Reliable, Determined, Consistent","Anxious, Conventional",True,True,False,Fail,Data,1.0,,,3.0,,4.0,,1.0,
Arron Cuerdall,2019-08-08,"Efficient, Creative","Indifferent, Impatient",True,True,True,Pass,Engineering,,1.0,,,,,,,3.0
Josh Youens,2019-08-08,Listening,"Sensitive, Anxious, Indecisive",True,True,True,Pass,Engineering,,5.0,,,4.0,,,3.0,
Aldo Bradnum,2019-08-27,Consistent,"Distracted, Conventional, Chaotic",True,True,True,Pass,Engineering,1.0,,2.0,,,3.0,3.0,2.0,2.0
