,Unnamed: 0,Date,Academy,Name,Psychometrics,Presentation
56,56,2019-05-01,London Academy,Keenan Stubbes,50,21
57,57,2019-05-01,London Academy,Verney Skehan,58,15
58,58,2019-05-01,London Academy,Bernice Niblett,52,16
59,59,2019-05-01,London Academy,Susie Ciccoloi,65,21
60,60,2019-05-01,London Academy,Corney Kolinsky,50,23
61,61,2019-05-01,London Academy,Benson Syncke,57,18
62,62,2019-05-01,London Academy,Halsey Broader,67,26
63,63,2019-10-01,London Academy,Konstantine Giacomoni,48,24
64,64,2019-10-01,London Academy,Carmelle Jado,54,22
65,65,2019-10-01,London Academy,Eward Stanyard,48,20
66,66,2019-10-01,London Academy,Edgardo Lidyard,49,24
67,67,2019-10-01,London Academy,Claudia May,53,18
68,68,2019-10-01,London Academy,Ginevra Kops,52,21
69,69,2019-10-01,London Academy,Lambert Fortnon,57,22
70,70,2019-10-01,London Academy,Far Lubeck,52,18
71,71,2019-10-01,London Academy,Joann Aspinwall,59,15
72,72,2019-10-01,London Academy,Sallyann Jacobi,60,15
73,73,2019-10-01,London Academy,Agustin Boog,55,21
74,74,2019-10-01,London Academy,Fiann Parmeter,52,23
75,75,2019-10-01,London Academy,Linette Gilhoolie,55,19
76,76,2019-10-01,London Academy,Pearla Durtnell,55,21
77,77,2019-10-01,London Academy,Candie Senner,59,24
78,78,2019-10-01,London Academy,Mychal Bachelar,47,24
79,79,2019-04-10,London Academy,Esme Trusslove,39,23
80,80,2019-04-10,London Academy,Tiler Andrejevic,55,21
81,81,2019-04-10,London Academy,Ester Foldes,48,23
82,82,2019-04-10,London Academy,Mile O'Brien,50,24
83,83,2019-04-10,London Academy,Sheeree Collop,66,19
84,84,2019-04-10,London Academy,Libbie Pluck,51,19
85,85,2019-04-10,London Academy,Gusty Beevens,42,22
86,86,2019-04-10,London Academy,Lon Gillimgham,56,18
87,87,2019-04-10,London Academy,Hogan Bushnell,65,22
88,88,2019-04-10,London Academy,Tiffany Gronaller,54,24
89,89,2019-04-10,London Academy,Chilton Niece,62,22
90,90,2019-04-10,London Academy,Eda Banner,72,20
91,91,2019-04-10,London Academy,Donalt Savary,48,18
92,92,2019-04-10,London Academy,Oralle Kose,50,22
93,93,2019-04-10,London Academy,Vernor Farrance,55,22
94,94,2019-04-10,London Academy,Salvidor Cully,53,18
95,95,2019-04-10,London Academy,Ninette Borrel,49,11
96,96,2019-04-10,London Academy,Todd Kohnert,58,24
97,97,2019-04-10,London Academy,Gunter Marzellano,63,23
98,98,2019-04-10,London Academy,Enrique Garside,57,19
99,99,2019-04-10,London Academy,Hilda Winkett,69,25
100,100,2019-04-10,London Academy,Giles De Angelis,52,23
101,101,2019-04-10,London Academy,Kala Franzini,48,26
102,102,2019-04-10,London Academy,Davey Mcdowell,52,24
103,103,2019-04-10,London Academy,Mickey Lamport,56,18
104,104,2019-04-10,London Academy,Myrna Bonafant,51,23
105,105,2019-04-10,London Academy,Monty Hillam,47,11
106,106,2019-04-10,London Academy,Luke Able,51,22
107,107,2019-04-10,London Academy,Phillis Lyfield,55,23
108,108,2019-12-10,London Academy,Candy Berends,66,15
109,109,2019-12-10,London Academy,Adolpho Litterick,63,17
110,110,2019-12-10,London Academy,Rockey Courtes,53,21
111,111,2019-12-10,London Academy,Salmon Glenfield,52,21
112,112,2019-12-10,London Academy,Jena Livings,62,21
113,113,2019-12-10,London Academy,Kaitlyn Chagg,53,18
114,114,2019-12-10,London Academy,Steffane Laity,62,25
115,115,2019-12-10,London Academy,Harrie Chatin,69,22
116,116,2019-12-10,London Academy,Bambi Earthfield,60,20
117,117,2019-12-10,London Academy,Ulberto Stroton,59,22
118,118,2019-12-10,London Academy,Reinold Jenicek,51,20
119,119,2019-12-10,London Academy,Guido Allans,57,16
120,120,2019-12-10,London Academy,Orella Goshawke,55,17
121,121,2019-12-10,London Academy,Felita Jzhakov,59,22
122,122,2019-12-10,London Academy,Filide Roony,60,22
123,123,2019-12-10,London Academy,Charley Fredi,55,20
124,124,2019-12-10,London Academy,Melly Ible,52,21
125,125,2019-12-10,London Academy,Wallie Chittenden,57,22
126,126,2019-12-10,London Academy,Scotti Bromfield,50,21
127,127,2019-12-10,London Academy,Elisa Gowman,50,19
128,128,2019-01-10,Birmingham Academy,Sue Barfitt,50,19
129,129,2019-01-10,Birmingham Academy,Zea Barette,52,18
130,130,2019-01-10,Birmingham Academy,Meggie Sidsaff,52,18
131,131,2019-01-10,Birmingham Academy,Gui Graine,57,17
132,132,2019-01-10,Birmingham Academy,Carolann Bumby,50,16
133,133,2019-01-10,Birmingham Academy,Danya Sedgefield,57,26
134,134,2019-01-10,Birmingham Academy,Rolland Figgins,41,22
135,135,2019-01-10,Birmingham Academy,Frank Tolchard,50,18
136,136,2019-01-10,Birmingham Academy,Shelli Abbess,51,22
137,137,2019-01-10,Birmingham Academy,Ambros Ethington,56,23
138,138,2019-01-10,Birmingham Academy,Nikola Devericks,49,17
139,139,2019-01-10,Birmingham Academy,Cheston Ceillier,65,25
140,140,2019-01-10,Birmingham Academy,Babita Heigho,50,28
141,141,2019-01-10,Birmingham Academy,Vince Scott,65,26
142,142,2019-01-10,Birmingham Academy,Stephan Jaxon,63,22
143,143,2019-01-10,Birmingham Academy,Thatcher Northey,49,16
144,144,2019-01-10,Birmingham Academy,Lilli Le Brom,47,23
145,145,2019-07-10,London Academy,Darwin Sambiedge,55,22
146,146,2019-07-10,London Academy,Grayce Aim,49,16
147,147,2019-07-10,London Academy,Betty Lamlin,72,24
148,148,2019-07-10,London Academy,Quill Tompkinson,66,17
149,149,2019-07-10,London Academy,Shaun Dowley,58,22
150,150,2019-07-10,London Academy,Oswald Lyndon,57,16
151,151,2019-07-10,London Academy,Stanwood Heimann,49,23
152,152,2019-07-10,London Academy,Ruthie Kinvig,44,20
153,153,2019-07-10,London Academy,Alison Tett,53,18
154,154,2019-07-10,London Academy,Care Oattes,49,22
155,155,2019-07-10,London Academy,Uriel Eidelman,50,21
156,156,2019-07-10,London Academy,Drake Northcote,53,27
157,157,2019-07-10,London Academy,Karel Toulamain,51,16
158,158,2019-07-10,London Academy,Zelda Prestage,55,18
159,159,2019-07-10,London Academy,Judon Henze,58,22
160,160,2019-07-10,London Academy,Miguelita Smedley,62,17
161,161,2019-07-10,London Academy,Weylin Comolli,50,25
162,162,2019-07-10,London Academy,Daloris Cotesford,60,22
163,163,2019-07-10,London Academy,Salim Sarra,53,19
164,164,2019-07-10,London Academy,Job Restall,60,21
165,165,2019-07-10,London Academy,Thorin Eskriet,57,17
166,166,2019-07-10,London Academy,Vivienne Blakelock,60,22
167,167,2019-07-10,London Academy,Randie Klimashevich,56,21
168,168,2019-07-10,London Academy,Maje Vallis,62,22
169,169,2019-07-10,London Academy,Freddie Samber,71,26
170,170,2019-07-10,London Academy,Grant Kilban,59,22
171,171,2019-10-10,Birmingham Academy,Ramsey Divall,51,19
172,172,2019-10-10,Birmingham Academy,Clint Draper,37,16
173,173,2019-10-10,Birmingham Academy,Drucie Bianco,53,23
174,174,2019-10-10,Birmingham Academy,Powell Wank,68,17
175,175,2019-10-10,Birmingham Academy,Tonye Hearl,63,21
176,176,2019-10-10,Birmingham Academy,Gardener Boundey,49,14
177,177,2019-10-10,Birmingham Academy,Cliff Knowlton,57,19
178,178,2019-10-10,Birmingham Academy,Lew Bartlomieczak,63,23
179,179,2019-10-10,Birmingham Academy,Bartholomeo Keatley,54,19
180,180,2019-10-10,Birmingham Academy,Adel Kinrade,56,16
181,181,2019-10-10,Birmingham Academy,Parrnell Wroe,59,15
182,182,2019-10-10,Birmingham Academy,Alexis Adess,57,19
183,183,2019-10-10,Birmingham Academy,Pauly Rebbeck,63,18
184,184,2019-10-10,Birmingham Academy,Malvin Penrith,61,23
185,185,2019-10-10,Birmingham Academy,Nariko Robelin,44,19
186,186,2019-10-10,Birmingham Academy,Wallie Pecha,51,22
187,187,2019-10-10,Birmingham Academy,Meredith Craufurd,50,14
188,188,2019-10-10,Birmingham Academy,Bobine Advani,55,17
189,189,2019-10-10,Birmingham Academy,Toinette Hallut,58,20
190,190,2019-10-10,Birmingham Academy,Aleksandr Lean,47,22
191,191,2019-10-10,Birmingham Academy,Barnie Jersh,59,22
192,192,2019-10-10,Birmingham Academy,Peterus Wraith,49,11
193,193,2019-10-10,Birmingham Academy,Ban Craze,38,24
194,194,2019-10-10,Birmingham Academy,Chrisy Kesey,58,15
195,195,2019-10-10,Birmingham Academy,Binnie Capnerhurst,53,14
196,196,2019-10-10,Birmingham Academy,Ammamaria Tassell,57,20
197,197,2019-10-10,Birmingham Academy,Karolina Comini,66,13
198,198,2019-10-10,Birmingham Academy,Loralie Exroll,53,20
199,199,2019-10-10,Birmingham Academy,Bebe Guyonneau,42,18
200,200,2019-10-10,Birmingham Academy,Hobard Gaynes,67,23
201,201,2019-10-10,Birmingham Academy,Clevie Bowsher,54,22
202,202,2019-09-10,London Academy,Loralyn Dibbs,46,18
203,203,2019-09-10,London Academy,Marsha Coulter,60,22
204,204,2019-09-10,London Academy,Norene Dericut,60,23
205,205,2019-09-10,London Academy,Dale Fewlass,52,22
206,206,2019-09-10,London Academy,Wilfred Godwyn,57,17
207,207,2019-09-10,London Academy,Irvine Harmson,55,23
208,208,2019-09-10,London Academy,Leyla Threadgold,54,18
209,209,2019-09-10,London Academy,Ethelred Cartman,52,24
210,210,2019-09-10,London Academy,Baldwin Macbey,56,24
211,211,2019-09-10,London Academy,Torrence Lanegran,62,20
212,212,2019-09-10,London Academy,Angie Langer,41,21
213,213,2019-09-10,London Academy,Patric Goult,68,22
214,214,2019-09-10,London Academy,Jennine Erni,56,26
215,215,2019-09-10,London Academy,Roderic Dagger,45,22
216,216,2019-09-10,London Academy,Glynnis Wicken,50,26
217,217,2019-09-10,London Academy,Stephine Kirton,63,19
218,218,2019-09-10,London Academy,Carroll Treasaden,54,21
219,219,2019-09-10,London Academy,Riva Mangeot,53,23
220,220,2019-09-10,London Academy,Lilias Mc Gorley,50,17
221,221,2019-09-10,London Academy,Garrard Keward,64,28
222,222,2019-09-10,London Academy,Collin Commins,52,22
223,223,2019-09-10,London Academy,Bertha Burchfield,55,18
224,224,2019-09-10,London Academy,Stillmann Qualtrough,63,9
225,225,2019-09-10,London Academy,Ignatius Doxsey,60,23
226,226,2019-09-10,London Academy,Jo-Ann Gallihaulk,62,20
227,227,2019-09-10,London Academy,Mark Beckingham,63,28
228,228,2019-09-10,London Academy,Ryley Dael,62,25
229,229,2019-04-11,Birmingham Academy,Meridel Randell,62,23
230,230,2019-04-11,Birmingham Academy,Isacco Boichat,57,19
231,231,2019-04-11,Birmingham Academy,Valenka Jirsa,63,18
232,232,2019-04-11,Birmingham Academy,Sullivan Peskin,45,24
233,233,2019-04-11,Birmingham Academy,Theobald Rawles,66,16
234,234,2019-04-11,Birmingham Academy,Hubie Surgood,52,21
235,235,2019-04-11,Birmingham Academy,Paco St Ange,59,22
236,236,2019-04-11,Birmingham Academy,Forbes Scimoni,54,16
237,237,2019-04-11,Birmingham Academy,Aggy Alessandrucci,55,21
238,238,2019-04-11,Birmingham Academy,Nicola Gloyens,46,23
239,239,2019-04-11,Birmingham Academy,Viv Newby,51,15
240,240,2019-04-11,Birmingham Academy,Rosanna Berkely,44,19
241,241,2019-04-11,Birmingham Academy,Arlen Meacher,55,20
242,242,2019-04-11,Birmingham Academy,Leigha Pafford,50,17
243,243,2019-04-11,Birmingham Academy,Amalea Tysack,54,18
244,244,2019-04-11,Birmingham Academy,Auberta Ruddick,63,23
245,245,2019-04-11,Birmingham Academy,Kathlin Gibling,64,24
246,246,2019-04-11,Birmingham Academy,Parke Coulthurst,61,21
247,247,2019-04-11,Birmingham Academy,Asher Mccrow,45,12
248,248,2019-04-11,Birmingham Academy,Scott Duny,57,17
249,249,2019-12-11,London Academy,Berry Gammel,71,16
250,250,2019-12-11,London Academy,Moritz Mosedall,54,21
251,251,2019-12-11,London Academy,Nerti Welfair,63,18
252,252,2019-12-11,London Academy,Sandro Pratchett,53,19
253,253,2019-12-11,London Academy,Olia Lincoln,62,18
254,254,2019-12-11,London Academy,Caril Bayly,58,21
255,255,2019-12-11,London Academy,Gianina Shevelin,51,14
256,256,2019-12-11,London Academy,Charlotte Laxe,58,27
257,257,2019-12-11,London Academy,Cori Docwra,56,20
258,258,2019-12-11,London Academy,Bessy Turpie,62,23
259,259,2019-12-11,London Academy,El Shepstone,53,17
260,260,2019-12-11,London Academy,Nahum Riddock,65,21
261,261,2019-12-11,London Academy,Berni Torra,54,19
262,262,2019-12-11,London Academy,Horten Koomar,50,18
263,263,2019-12-11,London Academy,Haley Chmiel,42,15
264,264,2019-12-11,London Academy,Allina Buttfield,57,18
265,265,2019-12-11,London Academy,Mari Lotterington,50,22
266,266,2019-12-11,London Academy,Elbertine Angliss,45,24
267,267,2019-12-11,London Academy,Eddie Mara,60,23
268,268,2019-12-11,London Academy,Willi Dibnah,57,22
269,269,2019-12-11,London Academy,Domenic Coulter,64,19
270,270,2019-12-11,London Academy,Johnna Tarbin,52,25
271,271,2019-12-11,London Academy,Rhys Ayton,41,17
272,272,2019-12-11,London Academy,Riobard Collcott,52,23
273,273,2019-12-11,London Academy,Amalia Sheppard,56,22
274,274,2019-12-11,London Academy,Rene Stennings,52,22
275,275,2019-12-11,London Academy,Piper Hawson,56,22
276,276,2019-12-11,London Academy,Doretta Langdon,58,25
277,277,2019-12-11,London Academy,Imelda Fowkes,44,24
278,278,2019-12-11,London Academy,Claudian Copp,47,18
279,279,2019-12-11,London Academy,Free Simmgen,56,15
280,280,2019-12-11,London Academy,Milly Hugnin,66,22
281,281,2019-12-11,London Academy,Elissa Knowles,50,22
282,282,2019-07-11,Birmingham Academy,Zacharias Restorick,58,22
283,283,2019-07-11,Birmingham Academy,Benita Enefer,52,20
284,284,2019-07-11,Birmingham Academy,Roana Sanger,56,20
285,285,2019-07-11,Birmingham Academy,Cherrita Mcgilleghole,52,25
286,286,2019-07-11,Birmingham Academy,Ortensia Winscomb,53,26
287,287,2019-07-11,Birmingham Academy,Michelle Dungee,45,20
288,288,2019-07-11,Birmingham Academy,Lissa Pumfrett,59,18
289,289,2019-07-11,Birmingham Academy,Hewet Derwin,62,25
290,290,2019-07-11,Birmingham Academy,Wilhelm Jouanet,63,23
291,291,2019-07-11,Birmingham Academy,Bari Streatfield,59,22
292,292,2019-07-11,Birmingham Academy,Rik Waren,64,18
293,293,2019-07-11,Birmingham Academy,Vivyan Robuchon,61,17
294,294,2019-07-11,Birmingham Academy,Dana Oldershaw,49,18
295,295,2019-07-11,Birmingham Academy,Whitman Ponter,49,23
296,296,2019-07-11,Birmingham Academy,Shay Obee,52,18
297,297,2019-07-11,Birmingham Academy,Fayette Vatini,42,18
298,298,2019-07-11,Birmingham Academy,Horatius Branch,58,15
299,299,2019-07-11,Birmingham Academy,Melamie Streat,48,22
300,300,2019-07-11,Birmingham Academy,Floris Rizzetti,51,22
301,301,2019-07-11,Birmingham Academy,Adelaida Pirson,57,27
302,302,2019-07-11,Birmingham Academy,Ester Mcterrelly,63,20
303,303,2019-07-11,Birmingham Academy,Lurline Stirtle,57,23
304,304,2019-07-11,Birmingham Academy,Annecorinne Kertess,49,18
305,305,2019-07-11,Birmingham Academy,Gaelan Cords,59,12
306,306,2019-07-11,Birmingham Academy,Cobby Wixey,49,18
307,307,2019-07-11,Birmingham Academy,Belle Catherall,53,23
308,308,2019-07-11,Birmingham Academy,Lory Bruckman,53,19
309,309,2019-07-11,Birmingham Academy,Rufe Devon,51,16
310,310,2019-07-11,Birmingham Academy,Zacherie Beswell,58,20
311,311,2019-07-11,Birmingham Academy,Mame Theurer,39,20
312,312,2019-07-11,Birmingham Academy,Maggie Dolden,53,28
313,313,2019-07-11,Birmingham Academy,Gage Feveryear,63,19
314,314,2019-07-11,Birmingham Academy,Virginia Burdge,57,18
315,315,2019-07-11,Birmingham Academy,Arlette Pickles,61,17
316,316,2019-07-11,Birmingham Academy,Madeleine Brunicke,67,16
317,317,2019-07-11,Birmingham Academy,Sinclair Bonder,60,26
318,318,2019-06-11,London Academy,Siouxie Rogan,60,16
319,319,2019-06-11,London Academy,Charlean Balston,53,20
320,320,2019-06-11,London Academy,Maxi Highwood,48,25
321,321,2019-06-11,London Academy,Antoni Caney,66,17
322,322,2019-06-11,London Academy,Diana Webby,61,18
323,323,2019-06-11,London Academy,Malvina Whiteford,53,24
324,324,2019-06-11,London Academy,Stewart Stapleford,44,21
325,325,2019-06-11,London Academy,Jayne Andriveau,62,26
326,326,2019-06-11,London Academy,Worthington Richford,59,18
327,327,2019-06-11,London Academy,Donalt Julyan,59,17
328,328,2019-06-11,London Academy,Monah Menci,62,12
329,329,2019-06-11,London Academy,Dev Mcpherson,64,26
330,330,2019-06-11,London Academy,Shandeigh Birchett,47,22
331,331,2019-06-11,London Academy,Vincenty Roubay,72,20
332,332,2019-06-11,London Academy,Melamie Keers,61,22
333,333,2019-06-11,London Academy,Doy Tams,58,22
334,334,2019-06-11,London Academy,Merilee Wheelband,47,23
335,335,2019-06-11,London Academy,Maryanna Seeney,50,18
336,336,2019-06-11,London Academy,Evangelin Gorges,66,22
337,337,2019-06-11,London Academy,Sean Dillaway,54,22
338,338,2019-06-11,London Academy,Gisela Schachter,65,20
339,339,2019-06-11,London Academy,Phedra Berriball,56,18
340,340,2019-06-11,London Academy,Sherwood Cahan,42,11
341,341,2019-06-11,London Academy,Byrom Sawday,54,21
342,342,2019-06-11,London Academy,Joanna Eggerton,51,22
343,343,2019-06-11,London Academy,Shayne De Domenico,54,20
344,344,2019-06-11,London Academy,Petronilla Ziemens,56,19
345,345,2019-06-11,London Academy,Nikolaus Gullefant,54,19
346,346,2019-06-11,London Academy,Auberon Werny,52,17
347,347,2019-06-11,London Academy,Forster Clines,60,18
348,348,2019-06-11,London Academy,Prentice Van Der Hoeven,60,23
349,349,2019-09-11,London Academy,Manon Clutterham,59,26
350,350,2019-09-11,London Academy,Ramon Hinchcliffe,56,18
351,351,2019-09-11,London Academy,Jenine Ivashkov,53,24
352,352,2019-09-11,London Academy,Pebrook Eydel,58,23
353,353,2019-09-11,London Academy,Bette-Ann Ferrieres,43,27
354,354,2019-09-11,London Academy,Chrissy Bartholin,55,19
355,355,2019-09-11,London Academy,Jere Amor,50,17
356,356,2019-09-11,London Academy,Amanda Lill,59,21
357,357,2019-09-11,London Academy,Fiona Sandle,60,17
358,358,2019-09-11,London Academy,Malina Casaccia,65,23
359,359,2019-09-11,London Academy,Andreas Mehmet,58,19
360,360,2019-09-11,London Academy,Liana Johannes,39,21
361,361,2019-09-11,London Academy,Keefe Mirfin,53,23
362,362,2019-09-11,London Academy,Wyatt Trippack,57,16
363,363,2019-09-11,London Academy,Dietrich Sabater,51,23
364,364,2019-09-11,London Academy,Dorothea Bidnall,54,21
365,365,2019-09-11,London Academy,Renie Ellin,63,15
366,366,2019-09-11,London Academy,Gery Marchment,50,19
367,367,2019-09-11,London Academy,Hillary Thouless,54,23
368,368,2019-09-11,London Academy,Mariel Bartel,53,17
369,369,2019-09-11,London Academy,Chelsy Regus,48,18
370,370,2019-09-11,London Academy,Guillaume Rubury,41,19
371,371,2019-09-11,London Academy,Teodora Whaplington,57,21
372,372,2019-09-11,London Academy,Elfrida Reece,66,17
373,373,2019-09-11,London Academy,Corry Siveter,42,24
374,374,2019-09-11,London Academy,Jillian Wenn,57,18
375,375,2019-09-11,London Academy,Elsa Woonton,54,23
376,376,2019-09-11,London Academy,Rachele Shaplin,65,17
377,377,2019-09-11,London Academy,Merwyn Bremeyer,55,19
378,378,2019-09-11,London Academy,Danni Gurdon,53,17
379,379,2019-09-11,London Academy,Veronike Alenov,53,22
380,380,2019-09-11,London Academy,Stephan Tidbald,61,17
381,381,2019-09-11,London Academy,Chrisse Santostefano.,57,25
382,382,2019-09-11,London Academy,Helyn Sahnow,67,16
383,383,2019-09-11,London Academy,Homerus Heighton,58,17
384,384,2019-09-11,London Academy,Fredia Ruos,64,17
385,385,2019-09-11,London Academy,Harrietta Buten,53,23
386,386,2019-09-11,London Academy,Glynda Cancellario,48,21
387,387,2019-09-11,London Academy,Sarita Weedon,66,19
388,388,2019-09-11,London Academy,Darwin Vlasov,51,25
389,389,2019-12-12,Birmingham Academy,Hi Romke,48,13
390,390,2019-12-12,Birmingham Academy,Gertruda Syddie,53,24
391,391,2019-12-12,Birmingham Academy,Loella Thomel,45,22
392,392,2019-12-12,Birmingham Academy,Dniren Barlas,52,19
393,393,2019-12-12,Birmingham Academy,Jo Ann Beeke,51,26
394,394,2019-12-12,Birmingham Academy,Mart Haggerstone,57,23
395,395,2019-12-12,Birmingham Academy,Patrice Milhench,55,23
396,396,2019-12-12,Birmingham Academy,Solly Reek,55,22
397,397,2019-12-12,Birmingham Academy,Damian Brimblecombe,41,19
398,398,2019-12-12,Birmingham Academy,Fawne Keen,58,22
399,399,2019-12-12,Birmingham Academy,Abran Hawson,47,13
400,400,2019-12-12,Birmingham Academy,Jacquelynn Savin,53,23
401,401,2019-12-12,Birmingham Academy,Matthew Tumilson,54,20
402,402,2019-12-12,Birmingham Academy,Bridgette Antos,65,26
403,403,2019-12-12,Birmingham Academy,Leslie Lochhead,41,20
404,404,2019-12-12,Birmingham Academy,Chet Bean,58,19
405,405,2019-12-12,Birmingham Academy,Kathryn Sture,54,17
406,406,2019-12-12,Birmingham Academy,Gerrie Domenget,66,16
407,407,2019-12-12,Birmingham Academy,Genovera Mattek,54,21
408,408,2019-12-12,Birmingham Academy,Dawn Petlyura,65,15
409,409,2019-12-12,Birmingham Academy,Eryn Licence,57,17
410,410,2019-12-12,Birmingham Academy,Lemar Kingsnod,45,26
411,411,2019-12-12,Birmingham Academy,Gaultiero Veldstra,40,23
412,412,2019-12-12,Birmingham Academy,Brandtr Rodell,60,14
413,413,2019-12-12,Birmingham Academy,Jordan Cristoforetti,56,21
414,414,2019-12-12,Birmingham Academy,Chaim Inseal,57,22
415,415,2019-02-12,London Academy,Wilfrid Warde,42,16
416,416,2019-02-12,London Academy,Wash Richardes,60,16
417,417,2019-02-12,London Academy,Redd Jurges,64,19
418,418,2019-02-12,London Academy,Tommy Evans,61,21
419,419,2019-02-12,London Academy,Stephanus Kenwood,58,18
420,420,2019-02-12,London Academy,Siward Luten,45,21
421,421,2019-02-12,London Academy,Adria Zorro,57,23
422,422,2019-02-12,London Academy,Audre Thomerson,58,19
423,423,2019-02-12,London Academy,Irvin Clayhill,55,14
424,424,2019-02-12,London Academy,Darcie Baldetti,47,15
425,425,2019-02-12,London Academy,Kizzee Toyne,49,18
426,426,2019-02-12,London Academy,Robbin Duchesne,59,15
427,427,2019-02-12,London Academy,Gertrud Nind,53,23
428,428,2019-02-12,London Academy,Aloin Ashment,54,19
429,429,2019-02-12,London Academy,Sophie Bosse,59,18
430,430,2019-02-12,London Academy,Yevette Rimbault,49,15
431,431,2019-02-12,London Academy,Dina Durbyn,59,23
432,432,2019-02-12,London Academy,Skelly Bhar,48,21
433,433,2019-02-12,London Academy,Kenn Woolner,48,21
434,434,2019-02-12,London Academy,Leonhard Sogg,68,16
435,435,2019-02-12,London Academy,Tabitha Vowdon,58,23
436,436,2019-02-12,London Academy,Inna Kidman,63,25
437,437,2019-02-12,London Academy,Randi Lebourn,60,18
438,438,2019-02-12,London Academy,Armstrong Hursthouse,44,14
439,439,2019-02-12,London Academy,Kiel Mcmullen,50,20
440,440,2019-02-12,London Academy,Vail Noen,54,16
441,441,2019-02-12,London Academy,Dukey Paddemore,51,17
442,442,2019-02-12,London Academy,Aubert Greally,53,21
443,443,2019-02-12,London Academy,Manya Ajsik,54,19
444,444,2019-02-12,London Academy,Ervin Jerche,53,22
445,445,2019-02-12,London Academy,Allyn Mccrum,61,15
446,446,2019-06-12,London Academy,Sinclair Breissan,60,19
447,447,2019-06-12,London Academy,Jeanette Wankel,67,19
448,448,2019-06-12,London Academy,Jehu Van Arsdall,52,14
449,449,2019-06-12,London Academy,Hadrian Cornau,49,22
450,450,2019-06-12,London Academy,Abran Odams,58,24
451,451,2019-06-12,London Academy,Jeanne Brayne,65,18
452,452,2019-06-12,London Academy,Camel Miguet,63,18
