,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score_CSharp,tech_self_score_Java,tech_self_score_R,tech_self_score_JavaScript,tech_self_score_Python,tech_self_score_C++,tech_self_score_Ruby,tech_self_score_SPSS,tech_self_score_PHP
21,Violet Luscombe,2019-08-14,"Competitive, Empathy",Impulsive,True,True,True,Pass,Data,1.0,,,,2.0,3.0,2.0,,
22,Phillis Wabey,2019-08-06,Problem Solving,"Overbearing, Impatient",True,True,True,Pass,Data,3.0,,2.0,,1.0,,,2.0,
23,Maurice Yakhin,2019-08-29,"Composure, Problem Solving, Efficient","Impatient, Critical",True,True,True,Pass,Engineering,,,4.0,3.0,,2.0,6.0,4.0,
24,Wesley Tolerton,2019-08-13,"Determined, Problem Solving, Patient","Indecisive, Undisciplined",False,True,True,Fail,Business,,,,,,,,,
25,Brittaney Roughey,2019-08-15,"Perfectionism, Charisma","Overbearing, Conventional, Immature",True,True,True,Pass,Engineering,,,4.0,,,,,2.0,
26,Saree Daens,2019-08-15,Reliable,Passive,True,True,True,Pass,Engineering,1.0,,2.0,,,,,,
27,Mona Willimott,2019-08-08,Passionate,"Passive, Chatty",True,True,True,Pass,Engineering,1.0,3.0,1.0,2.0,,,2.0,,2.0
28,Alvie Bleackly,2019-08-01,Perfectionism,"Impatient, Selfish, Indifferent",True,True,True,Pass,Engineering,,,,,,,,,
29,Drud Tellenbrok,2019-08-06,"Empathy, Charisma","Slow, Anxious, Chatty",True,True,True,Pass,Data,3.0,,,,1.0,,3.0,,
30,Deck Itzchaki,2019-08-01,Reliable,Indifferent,True,True,True,Pass,Business,,,,,,,,,1.0
31,Charlie Danelut,2019-08-14,"Efficient, Empathy, Independent","Indecisive, Chaotic",True,False,True,Fail,Data,,,2.0,,3.0,,,1.0,
32,Wilt Penritt,2019-08-01,"Collaboration, Curious","Slow, Sensitive",False,True,True,Fail,Data,,,,5.0,,,,,
33,Stevie Houliston,2019-08-15,Reliable,Overbearing,True,True,True,Pass,Engineering,2.0,4.0,1.0,,,,,6.0,
34,Fairlie Cogzell,2019-08-14,"Independent, Ambitious","Perfectionist, Introverted, Indecisive",True,True,True,Pass,Business,,5.0,2.0,1.0,3.0,,,4.0,1.0
35,Beckie Aveling,2019-08-22,Curious,Slow,True,True,True,Fail,Business,4.0,6.0,,3.0,,,,1.0,
36,Axe Mckall,2019-08-15,"Rational, Innovative, Collaboration","Impatient, Distracted",True,True,True,Pass,Business,,3.0,,,2.0,,4.0,,2.0
37,Marcela Pass,2019-08-27,"Curious, Passionate",Selfish,True,False,True,Fail,Business,,,,,3.0,1.0,,,
38,Sauncho Aveson,2019-08-13,"Rational, Innovative, Passionate","Immature, Competitive, Indifferent",True,True,True,Pass,Data,,2.0,,,,,1.0,,1.0
39,Shamus Mccomish,2019-08-15,Versatile,"Distracted, Slow",False,True,True,Fail,Engineering,,,1.0,2.0,,2.0,6.0,,
40,Andy Lown,2019-08-22,"Ambitious, Independent","Perfectionist, Procrastination",True,True,True,Pass,Business,,,,,,,,,
41,Arny Coorington,2019-08-14,Efficient,Competitive,True,True,True,Pass,Engineering,,1.0,,,,,,,
42,Devondra Blabey,2019-08-15,"Creative, Passionate, Reliable",Distracted,False,True,True,Fail,Engineering,,,3.0,2.0,4.0,,,,2.0
43,Irita Lyptrit,2019-08-07,Problem Solving,Perfectionist,True,True,True,Pass,Engineering,,1.0,,,,,2.0,,
44,Jae Rennolds,2019-08-29,"Consistent, Collaboration",Stubborn,True,True,True,Pass,Data,2.0,,3.0,,,5.0,,3.0,2.0
45,Marion Consadine,2019-08-15,"Independent, Passionate",Overbearing,True,True,True,Pass,Business,,,,4.0,5.0,,,3.0,
46,Leonore Pettiford,2019-08-13,Passionate,"Indifferent, Anxious",True,True,True,Pass,Data,,,,,3.0,4.0,,,
47,Edvard Northen,2019-08-07,Competitive,Controlling,True,True,True,Pass,Data,,,,,,,,7.0,
48,Oralla Peasgood,2019-08-07,"Versatile, Consistent, Passionate","Intolerant, Distracted, Impulsive",True,False,True,Fail,Business,6.0,5.0,,,,,5.0,6.0,
49,Ly Ferro,2019-08-13,"Curious, Perfectionism, Determined","Selfish, Conventional",True,False,True,Fail,Business,,,,1.0,,,1.0,,4.0
50,Lindsey Gerwood,2019-08-29,"Courteous, Ambitious, Versatile","Sensitive, Introverted",True,True,True,Fail,Data,,1.0,4.0,,1.0,6.0,4.0,,
51,Gianna Clevely,2019-08-01,"Independent, Competitive, Determined","Immature, Chaotic",True,True,True,Pass,Business,,4.0,,,3.0,,,,
52,Celine Doree,2019-08-15,"Reliable, Curious, Courteous",Impatient,True,True,True,Pass,Data,8.0,4.0,,,,,,,
53,Karlene Hughill,2019-08-21,"Courteous, Determined","Controlling, Intolerant, Conventional",True,True,True,Pass,Data,2.0,,,1.0,,2.0,1.0,,
54,Sayre Webberley,2019-08-14,Independent,"Perfectionist, Distracted",True,True,False,Fail,Engineering,3.0,1.0,,,5.0,5.0,,,2.0
55,Phyllys Baelde,2019-08-15,"Charisma, Collaboration, Listening",Indecisive,True,True,True,Pass,Data,,,3.0,,1.0,,,,3.0
56,Samuele Whear,2019-08-20,"Rational, Passionate","Stubborn, Impulsive",True,False,True,Fail,Business,,2.0,,,4.0,1.0,,,
57,Darcey Mordin,2019-08-27,"Curious, Empathy, Creative","Anxious, Slow, Competitive",True,True,True,Pass,Business,,1.0,,,,,,1.0,
58,Pamelina Itzkovsky,2019-08-13,"Curious, Perfectionism, Determined","Impatient, Passive, Intolerant",True,True,True,Pass,Engineering,,2.0,,,,,5.0,,
59,Laurel Gillogley,2019-08-21,Ambitious,"Chatty, Distracted, Slow",True,False,True,Fail,Engineering,,,,2.0,,3.0,4.0,,
60,Quinta Cowdray,2019-08-28,Consistent,"Conventional, Intolerant",True,True,True,Pass,Engineering,,,,3.0,1.0,,,2.0,
61,Cecile Lates,2019-08-15,Perfectionism,"Slow, Impulsive",True,True,True,Fail,Engineering,,,,,,4.0,,5.0,
62,Seumas Lemonby,2019-08-14,"Altruism, Empathy, Innovative",Distracted,True,True,True,Pass,Engineering,1.0,,,,,1.0,,,2.0
63,Gale Quartley,2019-08-13,"Rational, Organisation, Consistent",Procrastination,True,True,True,Pass,Data,,7.0,2.0,,,,2.0,,
64,Dorrie Srutton,2019-08-22,Charisma,"Introverted, Sensitive",False,True,True,Fail,Engineering,1.0,,,,,,,,
65,Benny Tichelaar,2019-08-21,Problem Solving,"Impulsive, Stubborn",False,False,True,Fail,Data,,1.0,,4.0,,,,1.0,
66,Avrit Gawith,2019-08-15,Versatile,"Introverted, Chaotic",True,True,True,Pass,Business,2.0,,,3.0,,,,4.0,
67,Berti Dennehy,2019-08-22,Consistent,"Stubborn, Anxious, Competitive",True,True,True,Fail,Data,,,,,,8.0,,2.0,5.0
68,Rockey Robarts,2019-08-14,"Composure, Charisma, Rational","Indifferent, Sensitive",True,True,True,Pass,Engineering,,3.0,,,6.0,,,,
69,Eloisa Ewert,2019-08-21,Efficient,"Anxious, Chatty",True,True,False,Fail,Business,2.0,,,,,,2.0,,1.0
70,Mireille Risom,2019-08-21,"Passionate, Reliable, Altruism","Chatty, Critical, Passive",True,True,True,Pass,Data,,,,,,,,3.0,2.0
71,Sharl Daggett,2019-08-22,"Efficient, Perfectionism",Controlling,True,True,True,Pass,Engineering,,,1.0,3.0,,,1.0,1.0,
72,Nikolos Yashin,2019-08-15,"Empathy, Curious","Chaotic, Stubborn",True,True,True,Fail,Business,,2.0,5.0,3.0,,2.0,,,
73,Shela Mccall,2019-08-14,"Courteous, Curious, Organisation","Stubborn, Procrastination",True,True,True,Fail,Engineering,,,,,,1.0,,3.0,1.0
74,Sonnie Malenfant,2019-08-14,"Organisation, Courteous",Perfectionist,True,True,True,Pass,Business,,,,,4.0,6.0,2.0,3.0,
75,Mahmud Molineux,2019-08-20,"Rational, Charisma","Chatty, Distracted, Sensitive",True,True,True,Pass,Business,,,,1.0,7.0,2.0,7.0,,
76,Dylan Llewellen,2019-08-29,"Perfectionism, Ambitious","Undisciplined, Intolerant, Perfectionist",True,True,False,Fail,Data,1.0,,5.0,,2.0,,,1.0,
77,Yvor Phalip,2019-08-01,"Charisma, Creative, Curious","Intolerant, Procrastination, Immature",True,True,False,Fail,Data,2.0,3.0,1.0,,,,7.0,,
78,Berry Freed,2019-08-29,"Competitive, Versatile",Immature,True,True,True,Pass,Business,,,,,,,,,3.0
79,Marielle Knivett,2019-08-01,Critical Thinking,"Overbearing, Indecisive",True,False,True,Fail,Business,5.0,,5.0,,,,4.0,7.0,1.0
80,Emmanuel Deniske,2019-08-15,"Passionate, Altruism, Courteous","Overbearing, Procrastination",True,True,True,Pass,Data,,3.0,,,1.0,1.0,,,
81,Kerr Coucha,2019-08-07,Curious,"Controlling, Sensitive, Distracted",True,True,True,Pass,Data,1.0,,2.0,,7.0,6.0,,3.0,
82,Dulci Mcgrayle,2019-08-21,"Versatile, Creative","Chatty, Sensitive",True,True,True,Pass,Data,,2.0,3.0,6.0,,,,,1.0
83,Shandee Blaschke,2019-08-21,Critical Thinking,Stubborn,False,True,True,Fail,Engineering,3.0,,,,3.0,1.0,4.0,,
84,Paul Chislett,2019-08-14,"Composure, Organisation","Procrastination, Impatient, Conventional",True,True,False,Fail,Engineering,,4.0,,,,,,,
85,Florri Loughton,2019-08-01,Ambitious,"Indifferent, Critical, Conventional",False,True,True,Fail,Engineering,1.0,,,,,,,,
86,Hildy Landre,2019-08-08,"Perfectionism, Courteous",Indifferent,False,True,True,Fail,Data,3.0,,1.0,3.0,,,,,
87,Berny Botler,2019-08-06,"Altruism, Collaboration",Impulsive,True,True,True,Pass,Data,,6.0,,,4.0,,2.0,3.0,4.0
88,Merell Tremmil,2019-08-13,"Perfectionism, Collaboration, Patient",Indifferent,True,True,True,Fail,Engineering,,,,,,6.0,,4.0,
89,Ileana Chewter,2019-08-21,"Passionate, Versatile",Competitive,True,True,True,Pass,Business,,2.0,,2.0,4.0,6.0,5.0,,
90,Ilario Yeates,2019-08-13,Listening,Procrastination,False,True,True,Fail,Engineering,1.0,,3.0,,4.0,,,,
91,Winnie Lewerenz,2019-08-06,Patient,Indecisive,True,False,True,Fail,Business,4.0,,2.0,2.0,,,,,
92,Garwood Strowan,2019-08-20,"Consistent, Creative","Chatty, Impulsive",False,True,True,Fail,Data,,3.0,,2.0,,3.0,,,
93,Herb Mcilmorie,2019-08-08,Determined,"Sensitive, Passive",True,True,True,Pass,Data,,3.0,2.0,,,1.0,2.0,4.0,7.0
94,Ingunna Adin,2019-08-01,"Charisma, Altruism, Perfectionism","Competitive, Indifferent, Chaotic",True,True,True,Pass,Data,,6.0,4.0,3.0,,3.0,,,
95,Frazier Bayston,2019-08-29,Altruism,Impulsive,True,False,True,Fail,Data,2.0,,,5.0,,1.0,4.0,3.0,
96,Hewett Lamputt,2019-08-13,"Rational, Determined, Organisation","Slow, Controlling, Anxious",True,True,True,Pass,Engineering,1.0,,6.0,3.0,,5.0,2.0,,1.0
97,Rodger Bendelow,2019-08-22,"Courteous, Rational","Selfish, Impatient",True,True,True,Pass,Data,,,,,6.0,,,3.0,
98,Archer Hobben,2019-08-14,"Independent, Problem Solving","Critical, Indecisive",True,True,True,Fail,Business,,,,,2.0,,4.0,,
99,Stephani Prettyman,2019-08-22,"Listening, Independent, Organisation",Selfish,True,True,True,Pass,Engineering,,1.0,,1.0,1.0,4.0,,2.0,
100,Pepi Bome,2019-08-20,"Competitive, Charisma","Slow, Indifferent, Selfish",True,True,True,Pass,Engineering,1.0,,,2.0,,,5.0,2.0,1.0
101,Loella Lonnon,2019-08-06,Empathy,"Introverted, Conventional, Undisciplined",True,True,False,Fail,Data,,,,,,6.0,,,
102,Darrin Stoffel,2019-08-08,Altruism,"Conventional, Introverted",True,True,True,Pass,Business,,,,,,,,3.0,2.0
103,Mitchel Bates,2019-08-14,Problem Solving,Stubborn,True,True,False,Fail,Engineering,2.0,3.0,,3.0,2.0,,,2.0,
104,Miles Water,2019-08-08,"Charisma, Passionate, Creative","Slow, Intolerant, Sensitive",True,True,True,Pass,Business,2.0,2.0,,4.0,,,,,2.0
105,Fanni Polhill,2019-08-28,"Perfectionism, Efficient, Listening","Indecisive, Indifferent, Undisciplined",True,True,True,Fail,Engineering,3.0,,,,2.0,,,6.0,
106,Genvieve Arnke,2019-08-22,"Reliable, Patient, Rational","Selfish, Chatty",False,True,True,Fail,Business,,,,,,,3.0,,2.0
107,Alicia Hruska,2019-08-28,"Altruism, Competitive, Charisma",Indifferent,True,True,True,Pass,Business,3.0,4.0,4.0,,,,,,
108,Mella Aubin,2019-08-15,Listening,Introverted,True,True,True,Pass,Data,,,3.0,,,,6.0,4.0,
109,George Huckstepp,2019-08-06,"Perfectionism, Listening, Ambitious","Anxious, Indifferent",False,True,True,Fail,Engineering,1.0,2.0,2.0,,,,,,
110,Joelie Elfitt,2019-08-29,Problem Solving,Chatty,True,True,False,Fail,Business,4.0,,,,1.0,,,,
111,Omar Rodrigo,2019-08-27,"Composure, Versatile","Impatient, Slow, Critical",True,False,True,Fail,Engineering,,,,1.0,,,3.0,,
112,Cal Loache,2019-08-15,"Ambitious, Reliable, Determined","Sensitive, Indifferent",True,True,True,Fail,Business,3.0,,7.0,1.0,3.0,,2.0,1.0,2.0
113,Tully Mcdoual,2019-08-07,Rational,"Stubborn, Indifferent",True,True,True,Pass,Engineering,,,1.0,,4.0,,3.0,,
114,Molli Brayfield,2019-08-22,Listening,"Perfectionist, Conventional",True,True,True,Pass,Data,,4.0,3.0,,,,,3.0,3.0
115,Janaya Mawford,2019-08-01,"Problem Solving, Efficient","Stubborn, Indecisive, Undisciplined",True,True,True,Pass,Data,,,1.0,,7.0,,,,
116,Lazarus Hooke,2019-08-29,"Independent, Perfectionism",Immature,False,True,True,Fail,Data,,1.0,1.0,,,,,,
117,Sidney Le Batteur,2019-08-08,Listening,"Intolerant, Conventional, Undisciplined",True,True,True,Pass,Data,,,,1.0,,,,,
118,Maryellen Vasovic,2019-08-20,"Problem Solving, Altruism, Patient","Indecisive, Procrastination, Undisciplined",True,True,True,Pass,Data,,3.0,,4.0,,,4.0,,1.0
119,Winona Rubinowitz,2019-08-29,Courteous,Controlling,True,True,True,Pass,Engineering,1.0,,,3.0,,,3.0,,
120,Dur Plom,2019-08-14,"Consistent, Innovative","Indifferent, Indecisive, Controlling",True,True,True,Fail,Engineering,1.0,,4.0,,,3.0,2.0,4.0,1.0
121,Gisela Aisbett,2019-08-15,"Efficient, Critical Thinking, Creative","Chaotic, Conventional",True,True,True,Pass,Engineering,,1.0,,1.0,,,,3.0,
122,Appolonia Jovis,2019-08-29,"Passionate, Composure, Determined",Anxious,True,False,False,Fail,Business,,7.0,5.0,,,4.0,,7.0,1.0
123,Diandra Dyhouse,2019-08-27,"Collaboration, Determined, Consistent","Slow, Conventional",True,True,True,Pass,Business,,3.0,,,6.0,3.0,,,
124,Cornall Offer,2019-08-01,Creative,"Distracted, Overbearing",True,False,True,Fail,Data,,1.0,,,,4.0,,,
125,Dominique Narbett,2019-08-20,"Competitive, Critical Thinking, Courteous","Immature, Chatty, Critical",True,True,True,Pass,Business,,,6.0,,,,4.0,6.0,
126,Gusti Horrod,2019-08-27,"Empathy, Courteous",Indifferent,True,True,True,Pass,Data,,3.0,3.0,,,,,,1.0
127,Brnaby Bownes,2019-08-01,"Efficient, Passionate",Introverted,True,True,True,Pass,Engineering,5.0,5.0,,,4.0,2.0,4.0,3.0,
128,Berky Bailey,2019-08-28,"Competitive, Empathy","Distracted, Passive, Stubborn",True,True,True,Pass,Business,5.0,,,5.0,2.0,,,,
129,Harriett Saffin,2019-08-28,"Innovative, Consistent, Collaboration",Impulsive,True,True,True,Pass,Business,2.0,,1.0,,1.0,,4.0,,
130,Pooh Christy,2019-08-28,"Curious, Perfectionism, Critical Thinking",Perfectionist,True,True,True,Pass,Data,2.0,2.0,,,5.0,1.0,,,
131,Tris Landrean,2019-08-29,"Innovative, Empathy","Passive, Selfish, Chaotic",True,True,True,Pass,Data,,1.0,,,,1.0,,1.0,
132,Derk Andress,2019-08-13,"Curious, Altruism, Collaboration","Perfectionist, Chatty, Undisciplined",True,True,True,Pass,Business,,,4.0,,,2.0,,,
133,Engelbert Vahl,2019-08-21,"Courteous, Reliable","Chaotic, Undisciplined",True,True,True,Pass,Data,,2.0,,3.0,,4.0,,,
134,Prentiss Godman,2019-08-20,"Altruism, Collaboration","Controlling, Impulsive",True,True,True,Fail,Engineering,,3.0,,,,1.0,3.0,,
135,Angel Hulson,2019-08-14,"Consistent, Independent","Chaotic, Controlling, Critical",True,True,True,Fail,Business,5.0,,2.0,,,2.0,1.0,,
136,Mike Milliere,2019-08-06,"Patient, Perfectionism","Selfish, Indifferent",True,True,True,Pass,Engineering,,2.0,2.0,,,,,,
137,Gayleen Petru,2019-08-14,"Versatile, Problem Solving",Distracted,True,True,True,Pass,Business,,,,,1.0,,1.0,,
138,Jozef Burr,2019-08-07,"Organisation, Patient, Problem Solving","Chatty, Anxious",True,True,True,Pass,Engineering,,2.0,1.0,,,,,2.0,1.0
139,Allina Grelka,2019-08-28,"Courteous, Empathy, Organisation",Critical,True,True,True,Pass,Engineering,,3.0,4.0,,,1.0,,5.0,3.0
140,Carr Kensall,2019-08-20,"Creative, Reliable",Chatty,True,False,True,Fail,Business,4.0,,1.0,3.0,,,2.0,3.0,2.0
141,Nil Macpaike,2019-08-06,"Problem Solving, Courteous","Controlling, Introverted, Overbearing",True,True,True,Pass,Business,2.0,1.0,1.0,,,,,,
142,Jessie Petriello,2019-08-06,"Passionate, Versatile",Critical,True,True,True,Pass,Engineering,,1.0,,,,,,,2.0
143,George O'Duane,2019-08-06,"Altruism, Efficient, Competitive","Controlling, Critical, Competitive",True,True,True,Pass,Data,,,1.0,4.0,1.0,,,,
144,Mendie Mcbean,2019-08-15,"Composure, Independent, Innovative","Impulsive, Conventional, Introverted",True,True,True,Pass,Engineering,,,,,,5.0,,,
145,Roze Yepiskopov,2019-08-21,Perfectionism,Chatty,True,True,True,Pass,Engineering,2.0,,,,,8.0,,5.0,3.0
146,Boote Moan,2019-08-20,Altruism,Chaotic,True,True,True,Pass,Business,5.0,1.0,,,1.0,2.0,,,
147,Tito Greiswood,2019-08-20,"Composure, Independent","Conventional, Passive, Chaotic",True,True,True,Pass,Engineering,,,,4.0,,4.0,2.0,,3.0
148,Reg Vandenhoff,2019-08-27,Independent,"Competitive, Overbearing",True,True,True,Pass,Data,,,5.0,3.0,,,7.0,4.0,
149,Ravid Leyninye,2019-08-06,"Efficient, Competitive","Undisciplined, Stubborn",True,True,True,Pass,Data,,1.0,,2.0,,,,,
150,Ninetta Joyce,2019-08-06,"Collaboration, Perfectionism","Selfish, Critical, Stubborn",True,True,True,Pass,Data,2.0,,,4.0,1.0,,,,
151,Rozalin Summerscales,2019-08-28,"Altruism, Collaboration, Empathy","Chaotic, Indifferent",True,True,True,Pass,Engineering,,,5.0,,5.0,,,,
152,Rafi Andrzejczak,2019-08-07,"Critical Thinking, Innovative","Chatty, Undisciplined, Selfish",True,False,True,Fail,Business,,2.0,,,6.0,,,,
153,Mead Stolting,2019-08-29,"Courteous, Efficient","Sensitive, Indifferent",True,False,True,Fail,Data,,1.0,2.0,,,,,7.0,2.0
154,Chickie Kezar,2019-08-21,"Problem Solving, Altruism, Ambitious","Undisciplined, Procrastination",True,True,False,Fail,Business,,,,5.0,,2.0,,7.0,
155,Cornall Wastall,2019-08-15,"Innovative, Efficient","Indifferent, Critical, Impatient",True,True,True,Pass,Engineering,,,,,,1.0,,3.0,
156,Carlin Stellino,2019-08-20,"Consistent, Efficient","Chatty, Overbearing",True,True,False,Fail,Engineering,,,,,5.0,,,,
157,Sherline Cudihy,2019-08-01,Perfectionism,Sensitive,True,True,True,Pass,Data,,3.0,2.0,,1.0,,2.0,5.0,
158,Burnard Fielden,2019-08-21,Independent,"Slow, Indifferent, Selfish",True,False,True,Fail,Data,2.0,,,,5.0,,,2.0,
159,Valle Humby,2019-08-21,Competitive,"Perfectionist, Intolerant",True,True,True,Pass,Engineering,1.0,,,2.0,2.0,,2.0,5.0,
160,Jillie Howles,2019-08-27,"Consistent, Independent, Composure",Chaotic,True,True,False,Fail,Data,,5.0,,,,,2.0,4.0,1.0
161,Chucho Galfour,2019-08-13,"Problem Solving, Ambitious, Courteous","Chatty, Procrastination, Overbearing",True,True,True,Pass,Engineering,,2.0,7.0,,1.0,,,2.0,
162,Orland Glaisner,2019-08-13,"Charisma, Courteous, Collaboration","Distracted, Critical, Competitive",True,True,True,Pass,Engineering,,,,2.0,,,,,
163,Luz Gasparro,2019-08-08,"Creative, Listening, Altruism","Anxious, Critical",True,True,True,Pass,Engineering,,,,,3.0,,,,1.0
164,Melesa Mault,2019-08-07,"Altruism, Problem Solving, Versatile",Competitive,True,False,True,Fail,Data,,5.0,,,,,,1.0,
165,Trudie Kiellor,2019-08-06,"Collaboration, Curious, Passionate",Intolerant,True,True,True,Pass,Data,,,,,3.0,,,,
166,Nancie Sazio,2019-08-15,Altruism,"Overbearing, Selfish",True,True,True,Pass,Engineering,,,3.0,,,,,,4.0
167,Welby Wishkar,2019-08-14,"Problem Solving, Passionate",Competitive,True,True,True,Fail,Business,,7.0,,,,3.0,3.0,,4.0
168,Carce Capel,2019-08-28,"Courteous, Versatile, Organisation",Undisciplined,False,True,True,Fail,Business,,,1.0,2.0,5.0,3.0,,2.0,1.0
169,Oralia Barrat,2019-08-27,"Composure, Patient",Introverted,True,True,True,Pass,Data,2.0,,3.0,,,,,,
170,Katuscha Ransfield,2019-08-07,"Altruism, Innovative",Introverted,True,False,True,Fail,Engineering,5.0,4.0,,2.0,,3.0,3.0,,
171,Norene Fierro,2019-08-01,"Efficient, Empathy",Stubborn,True,False,True,Fail,Business,,,,,6.0,3.0,,,
172,Mylo Sudell,2019-08-06,"Creative, Critical Thinking",Passive,True,True,True,Pass,Data,,,1.0,,,,,,
173,Shannon Hartman,2019-08-21,"Collaboration, Problem Solving",Indecisive,True,True,True,Fail,Engineering,1.0,,,1.0,,2.0,2.0,2.0,
174,Blakeley Strood,2019-08-06,"Empathy, Competitive",Procrastination,True,True,True,Pass,Data,,,,,3.0,,,3.0,
175,Rafi Downse,2019-08-21,"Rational, Innovative, Versatile","Introverted, Undisciplined, Stubborn",True,True,True,Pass,Engineering,,1.0,8.0,1.0,2.0,,3.0,3.0,
176,Demetrius Tunstall,2019-08-07,Collaboration,"Competitive, Introverted, Overbearing",True,True,True,Pass,Engineering,2.0,,,,,,,2.0,
177,Melinde Darton,2019-08-21,Courteous,"Controlling, Critical, Conventional",True,True,True,Pass,Business,,,,4.0,,,,,
178,Dulcea Perl,2019-08-22,"Creative, Empathy, Innovative",Distracted,True,True,True,Pass,Engineering,4.0,,,5.0,,,,,
179,Milton Conaghan,2019-08-08,"Collaboration, Consistent","Distracted, Sensitive",True,True,True,Pass,Engineering,5.0,2.0,1.0,1.0,,4.0,,,4.0
180,Chere Siddens,2019-08-29,"Competitive, Listening, Curious","Sensitive, Competitive",False,True,False,Fail,Business,,5.0,,,,,,,
181,Putnem Hessing,2019-08-08,"Independent, Critical Thinking","Chatty, Perfectionist, Critical",True,True,True,Pass,Data,4.0,,,,,1.0,5.0,1.0,
182,Timmi Haveline,2019-08-22,"Curious, Reliable, Competitive",Sensitive,True,True,True,Pass,Business,3.0,,,,,,,,
183,Garald Banasevich,2019-08-08,Creative,"Selfish, Perfectionist, Anxious",True,True,True,Pass,Data,2.0,3.0,5.0,,,3.0,3.0,,
184,Anselma Pavelin,2019-08-21,Organisation,Distracted,True,True,True,Fail,Business,,5.0,,1.0,,,,,2.0
185,Querida Antonacci,2019-08-29,Problem Solving,Introverted,True,True,True,Pass,Data,,,7.0,1.0,6.0,4.0,1.0,,
186,Leda Aharoni,2019-08-13,"Competitive, Consistent","Immature, Impatient, Distracted",True,True,True,Pass,Business,4.0,,,3.0,4.0,,,,3.0
187,Norri Temby,2019-08-27,"Listening, Organisation, Consistent","Controlling, Passive",True,True,True,Pass,Engineering,,5.0,,,,,,5.0,
188,Margery Winspur,2019-08-07,Independent,"Impulsive, Undisciplined",True,True,True,Pass,Data,1.0,4.0,,,1.0,,,,1.0
189,Bord Ollin,2019-08-14,Innovative,"Stubborn, Competitive, Passive",True,True,False,Fail,Business,2.0,,5.0,5.0,,,,,
